;index;type;name;geometry_name;lon;lat;geometry;K_distance;distance_to_center;normalize_name;okato;prc_children_1_6;region_average_age;count_nearest_postamats;count_nearest_pvz;count_nearest_pvz_shop;food_delivery;velo_parking;digitalization;digitalization_without_postamat;covering_postamats;count_nearest_metro;count_nearest_ngpt;count_nearest_auto_parking;transportization;level_working_region;level_sleeping_region;count_house_flat;population_house_flat;population_house_square;population_house_living_square;count_nearest_postamats_x2;count_nearest_postamats_x3;level_sleep_work_region;region_population;average_salary;average_employees;prc_employees_small_businesses;count_small_enterprises;investments;price_metr_housing;cost_apartment;rating_ecology;entertainment_infrastructure;house_infrastructure_rating;prc_xenophobic;area_per_human_region;population_density_region;population_region;prc_people_higher_education;death_rate;total_fertility_rate;prc_children_5_18;migration_population_growth;natural_population_growth;budget_expenditures;budget_revenues
23066;180;Hexagon_7;8711aa703ffffff;8611aa707ffffff;37.53955125892748;55.84382137180038;POLYGON ((37.52022380695435 55.838480348920996, 37.53699112373676 55.831115267481714, 37.556319971914085 55.83645355093051, 37.55888683211142 55.849160140607815, 37.54211303335626 55.85652725000588, 37.52277885664614 55.85118574092843, 37.52022380695435 55.838480348920996));1.36437;11.202756276290513;коптево;45277580000;6.85;41.0;46;15;33;6;18;1.3348966414612589;0.9748966414612589;61;6;83;47;0.7218033580884728;16400;19722;28076;89846;97853;58424;219;576;1.2025609756097562;101500;80913;10611;41.57;209;4547;169000;32727;71;48;80;23.54;18.3;18939;101500;48.79;10.6;7.0;13.01;19.4;-3.6;23748;28262
23591;127;Hexagon_7;8711aa625ffffff;8611aa627ffffff;37.65568654090627;55.87582006609677;POLYGON ((37.636310351111106 55.87049261371315, 37.653085983099174 55.86311107638035, 37.672463544245026 55.868435781613506, 37.67507085608723 55.88114524597451, 37.65828876545669 55.888528824036946, 37.63890582186899 55.8832008961652, 37.636310351111106 55.87049261371315));1.36437;13.723235566455692;южное медведково;45280594000;6.21;40.1;99;25;38;8;56;2.3902238670019793;1.6154412583063276;124;3;128;138;1.0508334921863756;24211;59846;49205;157479;112587;99639;290;473;2.4718516376853494;85300;60417;2782;46.85;128;2245;150700;30303;76;10;55;23.01;17.5;22041;85300;42.15;8.6;13.5;11.34;21.9;4.9;20868;21231
23592;187;Hexagon_7;8711aa70bffffff;8611aa70fffffff;37.61953100783022;55.877870697073426;POLYGON ((37.600164322655104 55.872538229837495, 37.616942286023075 55.865162891898926, 37.636310351111106 55.87049261371315, 37.63890582186899 55.8832008961652, 37.62212138877845 55.890578271041605, 37.60274795490387 55.885245325685375, 37.600164322655104 55.872538229837495));1.36437;13.774314285770746;южное медведково;45280594000;6.21;40.1;87;27;29;4;40;2.021359843131562;1.3404902779141705;114;5;99;110;0.9356002310825478;21482;41340;36132;115627;91761;83185;304;567;1.9244018247835397;85300;60417;2782;46.85;128;2245;150700;30303;76;10;55;23.01;17.5;22041;85300;42.15;8.6;13.5;11.34;21.9;4.9;20868;21231
24119;110;Hexagon_7;8711aa612ffffff;8611aa617ffffff;37.77660949186512;55.7530738514263;POLYGON ((37.7572561637546 55.74777074646343, 37.77397676652706 55.74035812356747, 37.793331429764606 55.74565848210277, 37.79597088802089 55.75837468260941, 37.77924389986373 55.765789357153615, 37.75988383904682 55.76048577870168, 37.7572561637546 55.74777074646343));1.36437;9.796296964110901;перово;45263583000;5.32;42.4;83;22;45;9;42;2.014402773448786;1.3648375560574817;105;5;113;163;1.152996195307546;32787;34015;46888;150041;107713;84318;159;428;1.0374538689114587;140800;69995;14449;60.82;402;3369;156574;31746;67;8;69;21.03;16.3;14469;140800;53.45;10.3;10.0;9.26;10.3;-0.3;25588;28730
24120;114;Hexagon_7;8711aa616ffffff;8611aa617ffffff;37.74053185043153;55.755179927742184;POLYGON ((37.72118793338293 55.749871807337364, 37.73791090306085 55.742465370782405, 37.7572561637546 55.74777074646343, 37.75988383904682 55.76048577870168, 37.743154472923194 55.76789426314031, 37.72380382817346 55.762585666616545, 37.72118793338293 55.749871807337364));1.36437;7.53093211536458;перово;45263583000;5.32;42.4;35;6;63;4;10;1.020417266202409;0.746504222724148;41;6;79;60;0.74601800809956;68368;35523;12634;40430;32498;27483;170;417;0.5195851860519541;140800;69995;14449;60.82;402;3369;156574;31746;67;8;69;21.03;16.3;14469;140800;53.45;10.3;10.0;9.26;10.3;-0.3;25588;28730
25139;89;Hexagon_7;8711aa4daffffff;8611aa4dfffffff;37.55021273243433;55.53468313606668;POLYGON ((37.531026541682664 55.52936393360439, 37.54766821556673 55.521969588213196, 37.56685577930693 55.52728606778561, 37.56940692277276 55.540000118268296, 37.55275886639604 55.54739648842419, 37.53356604930731 55.54207678250576, 37.531026541682664 55.52936393360439));1.36437;24.833827801214152;южное бутово;45293594000;8.62;35.8;34;17;7;4;4;1.1596803638345807;0.8935934073128415;51;4;47;17;0.4046044364736959;8885;22704;16469;52741;47362;32148;166;324;2.5553179516038265;206500;66003;2594;73.1;185;2098;126437;26230;99;21;72;21.74;22.6;8143;206500;46.02;6.0;16.3;14.35;11.0;10.3;33867;29517
25140;90;Hexagon_7;8711aa4dbffffff;8611aa4dfffffff;37.57195968780593;55.55271397232265;POLYGON ((37.55275886639604 55.54739648842419, 37.56940692277276 55.540000118268296, 37.58860911339117 55.54531487718122, 37.591168514229985 55.55802923117127, 37.5745140759429 55.56542762862514, 37.55530661898382 55.56010964396277, 37.55275886639604 55.54739648842419));1.36437;22.635770859959237;южное бутово;45293594000;8.62;35.8;63;17;11;8;6;1.509725120867829;1.0166816426069591;80;4;51;14;0.4110646330883755;4324;11189;24319;77847;71117;54341;173;273;2.587650323774283;206500;66003;2594;73.1;185;2098;126437;26230;99;21;72;21.74;22.6;8143;206500;46.02;6.0;16.3;14.35;11.0;10.3;33867;29517
25141;92;Hexagon_7;8711aa4deffffff;8611aa4dfffffff;37.514381235840176;55.53675485759606;POLYGON ((37.49520442528846 55.5314307167226, 37.5118483498179 55.524042513908434, 37.531026541682664 55.52936393360439, 37.53356604930731 55.54207678250576, 37.51691573154537 55.549467006327326, 37.49773229966076 55.544142359413975, 37.49520442528846 55.5314307167226));1.36437;25.111470243809077;южное бутово;45293594000;8.62;35.8;68;25;12;7;9;1.6932428105523984;1.16106889750892;93;4;79;12;0.5145682179800896;8739;24599;32844;105111;92702;57320;147;296;2.8148529580043484;206500;66003;2594;73.1;185;2098;126437;26230;99;21;72;21.74;22.6;8143;206500;46.02;6.0;16.3;14.35;11.0;10.3;33867;29517
26209;198;Hexagon_7;8711aa718ffffff;8611aa71fffffff;37.58984632338809;55.821707557048434;POLYGON ((37.57051469597459 55.8163747538052, 37.58727094812643 55.80899932311026, 37.60660395857607 55.8143293855812, 37.609186059628485 55.82703810235913, 37.5924233468984 55.83441556601197, 37.57308499395139 55.82908227908926, 37.57051469597459 55.8163747538052));1.36437;7.76454430765092;бутырский;45280561000;6.6;39.9;69;34;70;9;20;2.1008561655045987;1.560856165504599;103;8;95;114;1.0585233086041292;51948;35670;39920;127766;110238;96559;170;445;0.6866481866481866;71000;83556;14899;48.23;469;23211;188095;35833;38;55;87;14.21;16.4;14090;71000;53.53;8.1;7.7;12.39;15.3;-0.4;18573;20469
26687;166;Hexagon_7;8711aa6acffffff;8611aa6afffffff;37.81269415688909;55.75095656558739;POLYGON ((37.793331429764606 55.74565848210277, 37.81004965113514 55.738239671521036, 37.82941370486032 55.74353500687887, 37.832064948515686 55.75625237095925, 37.81534035284356 55.76367323695008, 37.79597088802089 55.75837468260941, 37.793331429764606 55.74565848210277));1.36437;12.06686534528235;новогиреево;45263576000;5.97;41.2;84;29;28;4;37;1.9508370390690932;1.2934457347212671;113;2;126;121;0.9487496644634723;14475;43648;70491;225593;129350;106105;237;443;3.015405872193437;97900;65812;2568;69.07;187;962;161111;32222;61;62;85;17.45;17.6;22108;97900;47.74;8.3;9.4;13.44;12.7;1.1;21575;21937
