;index;type;name;geometry_name;lon;lat;geometry;K_distance;distance_to_center;normalize_name;okato;prc_children_1_6;region_average_age;count_nearest_postamats;count_nearest_pvz;count_nearest_pvz_shop;food_delivery;velo_parking;digitalization;digitalization_without_postamat;covering_postamats;count_nearest_metro;count_nearest_ngpt;count_nearest_auto_parking;transportization;level_working_region;level_sleeping_region;count_house_flat;population_house_flat;population_house_square;population_house_living_square;count_nearest_postamats_x2;count_nearest_postamats_x3;level_sleep_work_region;region_population;average_salary;average_employees;prc_employees_small_businesses;count_small_enterprises;investments;price_metr_housing;cost_apartment;rating_ecology;entertainment_infrastructure;house_infrastructure_rating;prc_xenophobic;area_per_human_region;population_density_region;population_region;prc_people_higher_education;death_rate;total_fertility_rate;prc_children_5_18;migration_population_growth;natural_population_growth;budget_expenditures;budget_revenues
37712;69;Hexagon_7;8711aa45dffffff;8611aa45fffffff;37.42282766568736;55.71545848189096;POLYGON ((37.40359424960709 55.71011022884457, 37.4203139591257 55.70275310706947, 37.4395487895952 55.70809863380119, 37.44206916070719 55.72080451032804, 37.42534297641665 55.72816364583108, 37.40610289608054 55.72281489024808, 37.40359424960709 55.71011022884457));1.36437;13.149930905322847;можайский;45268569000;6.64;39.4;42;12;13;6;16;1.160574764419813;0.8318791122458999;54;2;66;33;0.44387125512057923;12518;12688;20832;67143;82611;74198;136;265;1.013580444160409;137400;109174;16640;48.22;288;124355;173039;32000;30;5;63;30.58;19.5;12837;137400;36.79;10.6;9.0;14.86;11.2;-1.6;27325;30980
38550;17;Hexagon_7;871181b66ffffff;861181b67ffffff;37.59372954265435;55.5707433864755;POLYGON ((37.5745140759429 55.56542762862514, 37.591168514229985 55.55802923117127, 37.61038534635449 55.56334226193901, 37.61295301980422 55.576056914481015, 37.596292200207074 55.58345734176988, 37.577070088721975 55.57814108585229, 37.5745140759429 55.56542762862514));1.36437;20.490339113128957;северное бутово;45293582000;6.94;39.3;58;19;39;5;17;1.5381946484407802;1.0842816049625192;77;5;63;25;0.5339001793418426;22574;48677;21311;68225;66333;58631;161;326;2.15633029148578;95300;65924;2008;58.08;163;1391;145019;28000;97;79;84;22.29;18.4;10467;95300;39.5;8.7;9.9;10.21;19.6;1.2;25954;21504
38551;88;Hexagon_7;8711aa4d9ffffff;8611aa4dfffffff;37.55785599173157;55.57282260135941;POLYGON ((37.53864990854342 55.567501891324646, 37.55530661898382 55.56010964396277, 37.5745140759429 55.56542762862514, 37.577070088721975 55.57814108585229, 37.56040698617508 55.58553535929117, 37.541194263215715 55.58021414859725, 37.53864990854342 55.567501891324646));1.36437;20.571498708292193;северное бутово;45293582000;6.94;39.3;65;11;18;7;12;1.3431488257638835;0.8344531735899702;76;3;44;17;0.350752185363994;15165;35969;15872;50822;48727;44620;129;367;2.3718430596768876;95300;65924;2008;58.08;163;1391;145019;28000;97;79;84;22.29;18.4;10467;95300;39.5;8.7;9.9;10.21;19.6;1.2;25954;21504
39045;74;Hexagon_7;8711aa46bffffff;8611aa46fffffff;37.38014755827878;55.7756257999371;POLYGON ((37.360898407875816 55.77026785838399, 37.37764424993506 55.76292320909928, 37.39689482870403 55.76827842321352, 37.399404814268145 55.78098151545897, 37.38265246637191 55.78832817478376, 37.363396639054336 55.782969730990324, 37.360898407875816 55.77026785838399));1.36437;15.281681442131784;строгино;45283577000;5.84;40.3;3;1;1;0;3;0.292226869661997;0.2687486087924318;4;1;13;1;0.09607636227830275;8765;6743;2096;6714;7193;5257;57;136;0.7693097547062179;159600;69838;6473;46.5;156;7033;179278;33846;111;38;66;18.21;16.4;9500;159600;45.16;7.6;7.1;11.57;21.2;-0.5;73109;79675
39046;219;Hexagon_7;8711aa732ffffff;8611aa737ffffff;37.4379436460686;55.79168625618331;POLYGON ((37.41867017661123 55.78633500189353, 37.43542029156683 55.77898216641886, 37.4546951771756 55.78433068939759, 37.45722522339419 55.79703527526991, 37.44046861392523 55.804390127159195, 37.421188453043605 55.79903837592672, 37.41867017661123 55.78633500189353));1.36437;12.201107539432915;строгино;45283577000;5.84;40.3;12;5;4;1;4;0.4720979267804966;0.3781848833022357;17;2;46;18;0.3195457321698807;13601;14246;11964;38287;35007;29398;139;294;1.0474229836041467;159600;69838;6473;46.5;156;7033;179278;33846;111;38;66;18.21;16.4;9500;159600;45.16;7.6;7.1;11.57;21.2;-0.5;73109;79675
39047;223;Hexagon_7;8711aa736ffffff;8611aa737ffffff;37.401916404112605;55.793684390781884;POLYGON ((37.38265246637191 55.78832817478376, 37.399404814268145 55.78098151545897, 37.41867017661123 55.78633500189353, 37.421188453043605 55.79903837592672, 37.404429599766345 55.806387047865506, 37.3851589757388 55.801030332323066, 37.38265246637191 55.78832817478376));1.36437;14.41232777550884;строгино;45283577000;5.84;40.3;40;20;25;5;20;1.2946107145042818;0.9815672362434121;60;2;81;41;0.5271460721802288;12067;10350;18208;58266;50477;46798;84;232;0.8577111129526809;159600;69838;6473;46.5;156;7033;179278;33846;111;38;66;18.21;16.4;9500;159600;45.16;7.6;7.1;11.57;21.2;-0.5;73109;79675
39628;61;Hexagon_7;8711aa453ffffff;8611aa457ffffff;37.39357564507655;55.659289496897536;POLYGON ((37.374376899922865 55.65394104877093, 37.391074981699255 55.646583798915216, 37.41027514409522 55.65192952532969, 37.41278244921166 55.66463573049657, 37.396077902040794 55.6719949901992, 37.37687251544805 55.66664603405979, 37.374376899922865 55.65394104877093));1.36437;17.755161411779028;солнцево;45268588000;7.08;38.9;45;15;10;5;7;1.1289574002280014;0.7767834871845233;60;4;48;19;0.41465506844945166;10151;20587;23992;76783;65990;62264;113;211;2.02807605162053;124100;70394;1938;66.04;145;4938;132829;28679;83;0;60;22.4;17.1;11054;124100;37.82;9.0;10.2;12.32;12.5;1.2;26418;27059
39629;70;Hexagon_7;8711aa45effffff;8611aa45fffffff;37.41529135240945;55.677341730054216;POLYGON ((37.396077902040794 55.6719949901992, 37.41278244921166 55.66463573049657, 37.4319973130842 55.66997974652721, 37.4345128673098 55.68268625058223, 37.417801855207244 55.69004752268454, 37.39858175410621 55.68470027750263, 37.396077902040794 55.6719949901992));1.36437;15.480600622291757;солнцево;45268588000;7.08;38.9;5;0;4;0;0;0.3709874513788966;0.3318570165962879;5;2;27;4;0.2022033565323613;10875;12310;510;1640;1410;1294;90;229;1.1319540229885057;124100;70394;1938;66.04;145;4938;132829;28679;83;0;60;22.4;17.1;11054;124100;37.82;9.0;10.2;12.32;12.5;1.2;26418;27059
39630;98;Hexagon_7;8711aa4ecffffff;8611aa4efffffff;37.40776943554329;55.63922311587168;POLYGON ((37.388575910396554 55.63387789756992, 37.405265322041004 55.6265165034407, 37.42446025980345 55.631859000403146, 37.42697101085135 55.64456612011903, 37.41027514409522 55.65192952532969, 37.391074981699255 55.646583798915216, 37.388575910396554 55.63387789756992));1.36437;18.516194151620507;солнцево;45268588000;7.08;38.9;41;17;6;7;1;1.0809373661274047;0.7600678009100134;58;5;50;12;0.4431192642705144;4840;10280;19286;61720;53137;48782;121;187;2.12396694214876;124100;70394;1938;66.04;145;4938;132829;28679;83;0;60;22.4;17.1;11054;124100;37.82;9.0;10.2;12.32;12.5;1.2;26418;27059
40172;82;Hexagon_7;8711aa4ccffffff;8611aa4cfffffff;37.49371812230779;55.615078178153446;POLYGON ((37.474510938613086 55.609746067097106, 37.49118722808608 55.60236822958515, 37.51039580307209 55.60769761621985, 37.5129333407486 55.62040806700114, 37.49625062793886 55.62778792437746, 37.477036801065196 55.622455310279285, 37.474510938613086 55.609746067097106));1.36437;17.42021466605912;тёплый стан;45293586000;5.75;42.8;33;16;21;4;5;0.9007372599544281;0.6424763903892108;49;3;69;51;0.5529382301566615;23331;22998;18419;58959;46841;44421;114;246;0.9857271441429857;134100;73448;2700;51.88;124;200;162857;33241;108;23;77;18.66;18.8;17906;134100;53.18;8.0;7.7;11.09;-5.0;-0.3;29366;28561
40173;83;Hexagon_7;8711aa4cdffffff;8611aa4cfffffff;37.51547249432696;55.63311831450601;POLYGON ((37.49625062793886 55.62778792437746, 37.5129333407486 55.62040806700114, 37.53215659465321 55.62573573060267, 37.53470240094685 55.63844647762574, 37.51801326534114 55.645828357413215, 37.498784746508875 55.640497466936395, 37.49625062793886 55.62778792437746));1.36437;15.010257067845927;тёплый стан;45293586000;5.75;42.8;74;34;31;16;15;1.9079303545835842;1.3287999198009754;108;4;59;48;0.5466844128208022;49211;49661;38045;121787;106496;83560;177;344;1.0091442970067668;134100;73448;2700;51.88;124;200;162857;33241;108;23;77;18.66;18.8;17906;134100;53.18;8.0;7.7;11.09;-5.0;-0.3;29366;28561
40174;97;Hexagon_7;8711aa4ebffffff;8611aa4efffffff;37.47956427196344;55.635164350727884;POLYGON ((37.460351840981076 55.629829011827525, 37.477036801065196 55.622455310279285, 37.49625062793886 55.62778792437746, 37.498784746508875 55.640497466936395, 37.482093352834845 55.647873187122705, 37.462874274460276 55.642537345282676, 37.460351840981076 55.629829011827525));1.36437;15.94278042321839;тёплый стан;45293586000;5.75;42.8;30;13;9;7;9;0.8734354696730983;0.6386528609774461;43;4;51;50;0.5214940809411361;27460;27719;24597;78719;76773;67279;138;318;1.0094319009468318;134100;73448;2700;51.88;124;200;162857;33241;108;23;77;18.66;18.8;17906;134100;53.18;8.0;7.7;11.09;-5.0;-0.3;29366;28561
40663;78;Hexagon_7;8711aa4c8ffffff;8611aa4cfffffff;37.52961240875793;55.61302477937004;POLYGON ((37.51039580307209 55.60769761621985, 37.5270698417245 55.60031362524963, 37.546287830335224 55.605638062256745, 37.54883704585484 55.61834971599885, 37.53215659465321 55.62573573060267, 37.5129333407486 55.62040806700114, 37.51039580307209 55.60769761621985));1.36437;16.722953577709518;ясенево;45293598000;6.51;41.3;44;20;17;5;17;1.2595445182863736;0.9151966921994171;64;4;67;54;0.5964146220010815;34416;43356;42402;135686;108055;103958;117;281;1.25976290097629;177700;67892;9702;46.98;173;2002;153536;31034;113;44;77;23.52;17.4;7010;177700;49.16;9.4;7.8;12.29;18.3;-1.6;31328;29460
40664;79;Hexagon_7;8711aa4c9ffffff;8611aa4cfffffff;37.55138788473253;55.63106116591945;POLYGON ((37.53215659465321 55.62573573060267, 37.54883704585484 55.61834971599885, 37.56806971506746 55.623672423068236, 37.570627211690905 55.63638436991163, 37.55394034850923 55.64377241069621, 37.53470240094685 55.63844647762574, 37.53215659465321 55.62573573060267));1.36437;14.379571368153599;ясенево;45293598000;6.51;41.3;17;4;6;4;1;0.5406421312446005;0.407598652983731;21;3;25;7;0.24567974837678125;15801;14512;13723;43930;34952;25643;184;484;0.9184228846275552;177700;67892;9702;46.98;173;2002;153536;31034;113;44;77;23.52;17.4;7010;177700;49.16;9.4;7.8;12.29;18.3;-1.6;31328;29460
40665;80;Hexagon_7;8711aa4caffffff;8611aa4cfffffff;37.54374023663457;55.59292620601541;POLYGON ((37.524528892018246 55.5876022695633, 37.541194263215715 55.58021414859725, 37.56040698617508 55.58553535929117, 37.562959603852136 55.59824791643515, 37.546287830335224 55.605638062256745, 37.5270698417245 55.60031362524963, 37.524528892018246 55.5876022695633));1.36437;18.59071897386755;ясенево;45293598000;6.51;41.3;22;3;7;2;14;0.6754833503409347;0.5033094372974565;25;4;48;35;0.46373482305067865;11085;20358;19719;63100;51518;50260;127;328;1.8365358592692829;177700;67892;9702;46.98;173;2002;153536;31034;113;44;77;23.52;17.4;7010;177700;49.16;9.4;7.8;12.29;18.3;-1.6;31328;29460
40666;81;Hexagon_7;8711aa4cbffffff;8611aa4cfffffff;37.56551384630237;55.610960271468485;POLYGON ((37.546287830335224 55.605638062256745, 37.562959603852136 55.59824791643515, 37.58218699436942 55.60356739778679, 37.58474789032419 55.61628024984734, 37.56806971506746 55.623672423068236, 37.54883704585484 55.61834971599885, 37.546287830335224 55.605638062256745));1.36437;16.315144903397147;ясенево;45293598000;6.51;41.3;22;12;7;2;4;0.7041598209291701;0.5319859078856917;34;4;30;10;0.3165657787754181;2739;4486;22918;73337;58189;53792;168;380;1.637824023366192;177700;67892;9702;46.98;173;2002;153536;31034;113;44;77;23.52;17.4;7010;177700;49.16;9.4;7.8;12.29;18.3;-1.6;31328;29460
41349;240;Hexagon_7;8711aa78affffff;8611aa78fffffff;37.69663873990264;55.71913400012168;POLYGON ((37.677324386632435 55.713822312224394, 37.6940345612585 55.70641996371979, 37.713350265994386 55.71172891111724, 37.71596115388129 55.724443428261544, 37.69924458137545 55.731847819506385, 37.67992351909266 55.72653565002874, 37.677324386632435 55.713822312224394));1.36437;6.165868230836827;печатники;45290582000;5.54;42.0;20;10;100;6;5;1.1609806003042862;1.0044588611738516;30;9;75;31;0.7677140917561107;57534;18545;4621;14799;15251;11693;194;434;0.3223311433239476;86400;75896;18184;38.36;285;45352;146543;31532;17;20;75;21.33;16.3;4832;86400;37.35;9.8;6.1;11.16;12.4;-3.7;22358;26757
41350;253;Hexagon_7;8711aa799ffffff;8611aa79fffffff;37.7107410439029;55.69901417733699;POLYGON ((37.69143204386262 55.69370571162643, 37.70813348602398 55.68629922824697, 37.72744383294927 55.69160495386055, 37.730058095750316 55.70432038379998, 37.713350265994386 55.71172891111724, 37.6940345612585 55.70641996371979, 37.69143204386262 55.69370571162643));1.36437;8.352770958573297;печатники;45290582000;5.54;42.0;33;10;37;4;8;0.9322050248567162;0.6739441552914989;43;5;54;33;0.5231990927870345;47917;38150;10738;34364;26116;23960;210;459;0.7961683744808732;86400;75896;18184;38.36;285;45352;146543;31532;17;20;75;21.33;16.3;4832;86400;37.35;9.8;6.1;11.16;12.4;-3.7;22358;26757
41351;254;Hexagon_7;8711aa79affffff;8611aa79fffffff;37.70292335658208;55.660868689443106;POLYGON ((37.68363444339093 55.655561674455114, 37.7003207818633 55.64815310238186, 37.7196110412575 55.65345737978172, 37.7222203072853 55.66617345052461, 37.70552759077665 55.67358406517361, 37.68623198650422 55.668276565668286, 37.68363444339093 55.655561674455114));1.36437;11.604147206136927;печатники;45290582000;5.54;42.0;7;3;4;0;2;0.30156990124205296;0.24678729254640072;10;2;43;19;0.31086622888065013;18779;24859;11007;35222;25911;25358;194;519;1.3237659087278342;86400;75896;18184;38.36;285;45352;146543;31532;17;20;75;21.33;16.3;4832;86400;37.35;9.8;6.1;11.16;12.4;-3.7;22358;26757
41352;255;Hexagon_7;8711aa79bffffff;8611aa79fffffff;37.724831237322064;55.67888930899316;POLYGON ((37.70552759077665 55.67358406517361, 37.7222203072853 55.66617345052461, 37.74152529614485 55.67147595465094, 37.74414292678439 55.684192294076546, 37.72744383294927 55.69160495386055, 37.70813348602398 55.68629922824697, 37.70552759077665 55.67358406517361));1.36437;10.636512263697684;печатники;45290582000;5.54;42.0;47;22;22;4;17;1.2540496540127264;0.8862235670562046;69;4;76;80;0.7114101870834971;6479;10201;33909;108517;82170;77400;237;500;1.5744713690384318;86400;75896;18184;38.36;285;45352;146543;31532;17;20;75;21.33;16.3;4832;86400;37.35;9.8;6.1;11.16;12.4;-3.7;22358;26757
41985;188;Hexagon_7;8711aa70cffffff;8611aa70fffffff;37.54724150618867;55.88193832279677;POLYGON ((37.5278938662778 55.87659584414528, 37.5446764485878 55.86923290077803, 37.56402548551065 55.87457263747889, 37.56659728185296 55.8872785420314, 37.5498082077275 55.89464351474203, 37.53045382934375 55.889300552715525, 37.5278938662778 55.87659584414528));1.36437;14.951797668780333;восточное дегунино;45277568000;6.42;39.6;92;35;39;9;10;2.022968591443255;1.302968591443255;127;2;91;91;0.7196769318150873;12366;25667;51475;164736;128747;115718;301;531;2.0756105450428595;98600;82479;5576;43.21;175;11751;144737;29412;44;6;67;24.35;16.2;26224;98600;41.94;9.2;8.3;13.44;6.6;-0.9;21761;22511
42356;156;Hexagon_7;8711aa6a0ffffff;8611aa6a7ffffff;37.76871635743272;55.71492600676628;POLYGON ((37.74938320004813 55.70962432796144, 37.766088670481444 55.702209620479444, 37.78542316235515 55.707508555376904, 37.78805756853378 55.72022541715823, 37.771345722249094 55.7276421749049, 37.75200584585021 55.72234001976609, 37.74938320004813 55.70962432796144));1.36437;10.278678594150138;кузьминки;45290562000;6.1;42.1;97;38;49;7;23;2.188351726805261;1.429221292022652;135;8;78;129;1.0379693134825385;35710;49342;45808;146723;123517;102849;242;487;1.381741809017082;145500;65116;1268;74.76;129;249;156250;31429;16;61;77;22.29;16.0;17875;145500;40.87;8.4;7.3;10.55;8.6;-1.1;26957;26957
42357;158;Hexagon_7;8711aa6a2ffffff;8611aa6a7ffffff;37.782790437001694;55.6947914758273;POLYGON ((37.763462659800794 55.689493017372165, 37.780159390876385 55.682074179837755, 37.799488498003086 55.687369894795104, 37.80212625901066 55.700087666388015, 37.78542316235515 55.707508555376904, 37.766088670481444 55.702209620479444, 37.763462659800794 55.689493017372165));1.36437;12.146892479688795;кузьминки;45290562000;6.1;42.1;37;15;12;7;9;1.010061019217878;0.7204958018265736;52;7;55;46;0.6512025823669233;22089;36523;22715;72713;53877;50252;240;435;1.6534474172665128;145500;65116;1268;74.76;129;249;156250;31429;16;61;77;22.29;16.0;17875;145500;40.87;8.4;7.3;10.55;8.6;-1.1;26957;26957
43073;175;Hexagon_7;8711aa6b6ffffff;8611aa6b7ffffff;37.75297534796496;55.638624463296175;POLYGON ((37.73368240917011 55.633325662369984, 37.750357694790345 55.62590679600502, 37.76965196678701 55.63120285804841, 37.772276311929545 55.64392100651354, 37.755594669467854 55.651341920406395, 37.73629503892067 55.64604263747026, 37.73368240917011 55.633325662369984));1.36437;15.321198303967092;братеево;45296557000;6.69;39.3;101;36;29;13;18;2.248641597889065;1.4582068152803693;137;6;104;60;0.8439095743646203;14481;32337;43955;140660;120094;113657;296;459;2.233064014916097;109100;56381;461;79.56;111;30;144033;29474;24;28;80;22.95;14.6;14393;109100;32.86;7.2;9.1;10.45;13.9;1.9;20324;28438
43369;157;Hexagon_7;8711aa6a1ffffff;8611aa6a7ffffff;37.79069365713659;55.73294205984295;POLYGON ((37.771345722249094 55.7276421749049, 37.78805756853378 55.72022541715823, 37.80740683397414 55.72552255607985, 37.81004965113514 55.738239671521036, 37.793331429764606 55.74565848210277, 37.77397676652706 55.74035812356747, 37.771345722249094 55.7276421749049));1.36437;10.940638065689335;вешняки;45263555000;5.18;43.6;40;15;21;1;16;0.955036014841445;0.6419925365805754;55;6;55;57;0.6428396504973721;3173;3303;18915;60562;46520;35827;280;560;1.0409706901985503;122100;63445;2685;53.41;132;58;140258;30000;55;19;75;22.91;16.5;11392;122100;46.03;11.1;7.7;9.16;8.5;-3.4;26623;28046
43370;168;Hexagon_7;8711aa6aeffffff;8611aa6afffffff;37.82676415436974;55.73081742047255;POLYGON ((37.80740683397414 55.72552255607985, 37.82411629543383 55.71809961306957, 37.84347493786472 55.72339172974996, 37.84612953032977 55.73611000727658, 37.82941370486032 55.74353500687887, 37.81004965113514 55.738239671521036, 37.80740683397414 55.72552255607985));1.36437;13.2065669399719;вешняки;45263555000;5.18;43.6;45;17;13;5;22;1.1318625280554262;0.779688615011948;62;3;76;99;0.7275871325145594;16309;35525;34628;110814;78933;74990;247;570;2.1782451407198478;122100;63445;2685;53.41;132;58;140258;30000;55;19;75;22.91;16.5;11392;122100;46.03;11.1;7.7;9.16;8.5;-3.4;26623;28046
43820;194;Hexagon_7;8711aa713ffffff;8611aa717ffffff;37.54606893792768;55.78562494809279;POLYGON ((37.52676694413106 55.78028861547951, 37.54351027332036 55.77291724295512, 37.562813657864176 55.77825083904139, 37.56537902949585 55.79095903245994, 37.548629238530424 55.798332432779986, 37.529320537976375 55.79299561104867, 37.52676694413106 55.78028861547951));1.36437;5.844521272408327;беговой;45277556000;5.68;41.4;41;14;24;13;10;1.2151587399857962;0.8942891747684047;55;10;91;57;0.9522245585506378;94204;30919;27514;88057;91283;77320;204;445;0.3282132393528937;42700;84739;52943;20.8;715;297690;247059;41225;1;97;85;14.87;18.6;7692;42700;63.91;8.2;7.4;10.95;-2.2;-0.8;17404;17993
43821;271;Hexagon_7;8711aa7adffffff;8611aa7afffffff;37.5821251360694;55.7835821855974;POLYGON ((37.562813657864176 55.77825083904139, 37.57955469613917 55.77087328466642, 37.59886755660652 55.77620189296571, 37.601444708637075 55.78891127956213, 37.584697219543024 55.79629086551932, 37.56537902949585 55.79095903245994, 37.562813657864176 55.77825083904139));1.36437;4.070089491866874;беговой;45277556000;5.68;41.4;65;43;107;23;28;2.6875926700795723;2.1788970179056593;108;13;127;81;1.2931238353478491;168749;46287;37029;118523;127294;97422;210;450;0.2742949587849409;42700;84739;52943;20.8;715;297690;247059;41225;1;97;85;14.87;18.6;7692;42700;63.91;8.2;7.4;10.95;-2.2;-0.8;17404;17993
44189;18;Hexagon_7;871181b68ffffff;861181b6fffffff;37.695120604555264;55.622721299572646;POLYGON ((37.675851737451396 55.6174157437894, 37.69252299882209 55.61000508647751, 37.711793211443485 55.615307907176216, 37.71439749491307 55.6280246067806, 37.69771986504535 55.63543730531624, 37.67844432043397 55.630131262189785, 37.675851737451396 55.6174157437894));1.36437;15.365691546948602;орехово-борисово северное;45296577000;4.63;43.0;39;18;13;3;24;1.07054637097635;0.7653289796720023;57;4;67;41;0.5565373213875846;38954;76377;27147;86872;67727;65041;243;520;1.9606972326333625;131900;63883;6799;28.55;109;83;149606;31111;69;29;74;19.26;15.0;17200;131900;35.91;10.0;6.1;7.05;9.5;-3.9;23555;23260
44548;167;Hexagon_7;8711aa6adffffff;8611aa6afffffff;37.83471788694798;55.768969511384384;POLYGON ((37.81534035284356 55.76367323695008, 37.832064948515686 55.75625237095925, 37.85144380525275 55.76154589515503, 37.854103490942045 55.77426350284728, 37.83737252177137 55.78168642682504, 37.81798824060818 55.77638968428039, 37.81534035284356 55.76367323695008));1.36437;13.542195601587412;ивановское;45263567000;5.54;42.4;57;21;13;4;23;1.3278007196563753;0.8817137631346361;78;1;67;122;0.678687789582612;12871;38814;41628;133213;89187;76148;194;462;3.01561650221428;127500;60339;1518;75.75;155;1000;142857;29333;100;12;73;23.23;16.4;12519;127500;42.42;12.8;7.0;9.52;10.7;-5.8;28163;27716
45072;119;Hexagon_7;8711aa61cffffff;8611aa61fffffff;37.806545609460066;55.80923724054036;POLYGON ((37.78715723585865 55.803934528269934, 37.803899392619904 55.79652194032831, 37.82328909801654 55.80182190152905, 37.82594207088967 55.8145376687901, 37.80919351997407 55.82195231235846, 37.78979839054522 55.81664913219476, 37.78715723585865 55.803934528269934));1.36437;13.180410525176368;северное измайлово;45263585000;6.54;42.2;92;51;31;13;36;2.5462825297063736;1.8262825297063734;143;3;114;107;0.9009221905380644;25085;63568;76091;243532;175687;151623;214;259;2.5341040462427746;87400;62670;2817;69.09;208;1000;153154;30303;48;56;85;19.64;18.8;20849;87400;46.17;16.8;3.5;12.84;16.1;-13.3;19502;21649
45624;132;Hexagon_7;8711aa630ffffff;8611aa637ffffff;37.676199907758054;55.79749375680488;POLYGON ((37.65685468221594 55.792174182374495, 37.67359752399346 55.78478222096196, 37.692944110903554 55.790099051571005, 37.695553226254276 55.802811065107996, 37.67880395631514 55.81020506824531, 37.65945199942322 55.80488501528013, 37.65685468221594 55.792174182374495));1.36437;5.95433013526207;сокольники;45263591000;4.74;44.4;32;15;28;7;22;1.0739200030741773;0.8234852204654816;47;7;98;86;0.9422754628458945;15333;5960;16080;51456;52751;42773;223;451;0.38870410226309265;61000;85692;18359;52.52;910;16864;214706;38641;91;89;85;13.54;19.2;5950;61000;62.07;8.8;8.3;8.95;10.2;-0.5;28115;22838
46139;135;Hexagon_7;8711aa633ffffff;8611aa637ffffff;37.71229878662118;55.79541361477416;POLYGON ((37.692944110903554 55.790099051571005, 37.709684607229974 55.78270090036006, 37.72904063578827 55.788012718026756, 37.73166155180041 55.800725907505644, 37.71491463836509 55.808126104217436, 37.695553226254276 55.802811065107996, 37.692944110903554 55.790099051571005));1.36437;7.362974913850558;преображенское;45263594000;4.31;44.4;61;40;59;14;18;1.9260563179325587;1.4486650135847325;101;9;106;151;1.257197793433988;81292;47333;34368;109998;93804;81625;242;404;0.5822590168774295;89300;106537;11000;56.9;384;16223;176667;35897;56;61;72;14.48;16.9;16046;89300;52.17;9.7;5.8;7.81;49.8;-3.9;21794;24404
46706;101;Hexagon_7;8711aa601ffffff;8611aa607ffffff;37.77832468715293;55.84948469977528;POLYGON ((37.758925474899065 55.844175548444916, 37.77568522036024 55.83677125297497, 37.795085773611525 55.84207765240818, 37.79773200521864 55.85479156604176, 37.780965844878075 55.86219791477648, 37.76155986802269 55.85688829576755, 37.758925474899065 55.844175548444916));1.36437;14.508012635093015;гольяново;45263564000;5.56;42.8;0;0;0;0;0;0.13764190317195318;0.13764190317195318;0;0;0;0;0.0;5323;6812;0;0;0;0;9;101;1.2797294758594777;162300;65985;8222;60.56;246;1898;144435;29474;39;14;68;21.74;17.9;10855;162300;43.21;10.5;8.2;9.76;9.5;-2.3;29194;25695
46707;102;Hexagon_7;8711aa602ffffff;8611aa607ffffff;37.77041135312554;55.81134366928463;POLYGON ((37.75103240708841 55.806035926698506, 37.76777694946535 55.798629535048605, 37.78715723585865 55.803934528269934, 37.78979839054522 55.81664913219476, 37.77304744288779 55.82405757570241, 37.753661746038475 55.81874936258395, 37.75103240708841 55.806035926698506));1.36437;11.35288471727597;гольяново;45263564000;5.56;42.8;39;16;34;4;22;1.196339686633164;0.8911222953288159;55;7;84;56;0.7954316458601601;16246;17618;27981;89550;68376;60634;187;368;1.084451557306414;162300;65985;8222;60.56;246;1898;144435;29474;39;14;68;21.74;17.9;10855;162300;43.21;10.5;8.2;9.76;9.5;-2.3;29194;25695
46708;103;Hexagon_7;8711aa603ffffff;8611aa607ffffff;37.7924412359253;55.82936350735002;POLYGON ((37.77304744288779 55.82405757570241, 37.78979839054522 55.81664913219476, 37.80919351997407 55.82195231235846, 37.811843125777145 55.834667154454536, 37.795085773611525 55.84207765240818, 37.77568522036024 55.83677125297497, 37.77304744288779 55.82405757570241));1.36437;13.649262923381938;гольяново;45263564000;5.56;42.8;14;8;7;4;6;0.5562267284063949;0.44666151101509044;22;1;30;20;0.22092483592750078;13904;41226;11566;37019;30192;25779;113;244;2.9650460299194474;162300;65985;8222;60.56;246;1898;144435;29474;39;14;68;21.74;17.9;10855;162300;43.21;10.5;8.2;9.76;9.5;-2.3;29194;25695
46709;120;Hexagon_7;8711aa61dffffff;8611aa61fffffff;37.82859674203177;55.827253206704135;POLYGON ((37.80919351997407 55.82195231235846, 37.82594207088967 55.8145376687901, 37.84534662076062 55.81983580994811, 37.84800805733106 55.83255181215901, 37.83125311306263 55.8399685139426, 37.811843125777145 55.834667154454536, 37.80919351997407 55.82195231235846));1.36437;15.377532645438317;гольяново;45263564000;5.56;42.8;31;13;9;6;19;0.9642456968633428;0.7216370012111689;44;1;53;53;0.4122120707563869;11487;34059;29359;93965;76083;65521;123;224;2.965003917471925;162300;65985;8222;60.56;246;1898;144435;29474;39;14;68;21.74;17.9;10855;162300;43.21;10.5;8.2;9.76;9.5;-2.3;29194;25695
47464;122;Hexagon_7;8711aa620ffffff;8611aa627ffffff;37.66985790215035;55.855726085852254;POLYGON ((37.65048709044533 55.850401856210844, 37.66725392821049 55.84301616001449, 37.686626106623784 55.84833764290752, 37.6892368302433 55.861048043494, 37.672463544245026 55.868435781613506, 37.653085983099174 55.86311107638035, 37.65048709044533 55.850401856210844));1.36437;11.722790708375143;бабушкинский;45280556000;5.96;42.8;62;29;44;7;31;1.813015232477545;1.3277978411731972;91;4;83;73;0.7173474329996772;21518;38263;36553;116975;90958;73575;211;393;1.7781857049911702;88200;66785;5270;70.93;422;425;159817;32000;95;66;80;18.44;17.8;17415;88200;47.98;9.8;11.9;10.26;-1.9;2.1;21249;29027
